system:index,date,sm_0_28_mean,.geo
103,2023-08,0.04709060854027257,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2023-09,0.04549964136560906,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2023-10,0.04878688632184539,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2023-11,0.07157465532693134,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2023-12,0.0922652649941959,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2024-01,0.07359489998216993,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2024-02,0.09080945902489274,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2024-03,0.06835484407458166,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2024-04,0.05967351835048143,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2024-05,0.05573810455001488,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2024-06,0.049788592165798895,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2024-07,0.04455724281508799,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2024-08,0.04147336359231971,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2024-09,0.039725402585000257,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2024-10,0.03888260365143763,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2024-11,0.04606734022711265,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2024-12,0.04932338499570073,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2025-01,0.050065986061845105,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2025-02,0.0853163466651181,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2025-03,0.09703359367329019,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2025-04,0.06942656840706522,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2025-05,0.06408530461051631,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2025-06,0.058187482328120585,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2025-07,0.05381176809572067,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2025-08,0.0546594520874139,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2025-09,0.05078659476639831,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2025-10,0.04814632614385843,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2025-11,0.052730426422294724,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2025-12,0.11366772990371576,"{""type"":""MultiPoint"",""coordinates"":[]}"
